[SingleUserNotebookApp | WARNING] No nbgrader_config.py file found (rerun with --debug to see where nbgrader is looking)
[SingleUserNotebookApp | INFO] Loading the validate_assignment nbgrader serverextension
[SingleUserNotebookApp | INFO] Starting jupyterhub-singleuser server version 1.0.0
[SingleUserNotebookApp | WARNING] jupyterhub version 0.9.6 != jupyterhub-singleuser version 1.0.0. This could cause failure to authenticate and result in redirect loops!
[SingleUserNotebookApp | INFO] Serving notebooks from local directory: /home/jovyan/etc_composition/config/extensions
[SingleUserNotebookApp | INFO] The Jupyter Notebook is running at:
[SingleUserNotebookApp | INFO] http://jupyter-son520804:8888/user/son520804/
[SingleUserNotebookApp | INFO] Use Control-C to stop this server and shut down all kernels (twice to skip confirmation).
[SingleUserNotebookApp | WARNING] Activity events disabled
[SingleUserNotebookApp | INFO] 302 GET /user/son520804/ -> /user/son520804/tree? (@172.16.116.202) 0.62ms
[SingleUserNotebookApp | INFO] 302 GET /user/son520804/?redirects=1 -> /user/son520804/tree?redirects=1 (@98.224.219.152) 0.75ms
[SingleUserNotebookApp | INFO] 302 GET /user/son520804/tree?redirects=1 -> /hub/api/oauth2/authorize?client_id=jupyterhub-user-son520804&redirect_uri=%2Fuser%2Fson520804%2Foauth_callback&response_type=code&state=[secret] (@98.224.219.152) 1.81ms
[SingleUserNotebookApp | INFO] Logged-in user {'kind': 'user', 'name': 'son520804', 'admin': False, 'groups': [], 'server': '/user/son520804/', 'pending': None, 'created': '2020-04-06T14:45:49.903317Z', 'last_activity': '2020-06-12T18:25:13.347767Z', 'servers': None}
[SingleUserNotebookApp | INFO] 302 GET /user/son520804/oauth_callback?code=[secret]&state=[secret] -> /user/son520804/tree?redirects=1 (@98.224.219.152) 87.32ms
[SingleUserNotebookApp | ERROR] Could not open static file ''
[SingleUserNotebookApp | INFO] 200 GET /user/son520804/tree?redirects=1 (son520804@98.224.219.152) 57.70ms
[SingleUserNotebookApp | WARNING] 404 GET /user/son520804/static/components/react/react-dom.production.min.js (son520804@98.224.219.152) 6.12ms
[SingleUserNotebookApp | WARNING] 404 GET /user/son520804/static/components/react/react-dom.production.min.js (son520804@98.224.219.152) 1.93ms
[SingleUserNotebookApp | INFO] 200 GET /user/son520804/api/config/tree?_=1591986314335 (son520804@98.224.219.152) 5.50ms
[SingleUserNotebookApp | INFO] 200 GET /user/son520804/api/config/common?_=1591986314336 (son520804@98.224.219.152) 2.19ms
[SingleUserNotebookApp | INFO] 200 GET /user/son520804/api/terminals?_=1591986314337 (son520804@98.224.219.152) 0.98ms
[SingleUserNotebookApp | INFO] 200 GET /user/son520804/api/kernelspecs (son520804@98.224.219.152) 11.59ms
[SingleUserNotebookApp | INFO] 200 GET /user/son520804/api/sessions?_=1591986314338 (son520804@98.224.219.152) 1.69ms
[SingleUserNotebookApp | INFO] 200 GET /user/son520804/api/terminals?_=1591986314339 (son520804@98.224.219.152) 1.01ms
[SingleUserNotebookApp | INFO] 200 GET /user/son520804/api/contents?type=directory&_=1591986314340 (son520804@98.224.219.152) 36.09ms
[SingleUserNotebookApp | INFO] 200 GET /user/son520804/nbgrader_version?version=0.5.6&_=1591986314341 (son520804@98.224.219.152) 1.01ms
[SingleUserNotebookApp | INFO] Creating new notebook in 
[SingleUserNotebookApp | INFO] 201 POST /user/son520804/api/contents (son520804@98.224.219.152) 507.38ms
[SingleUserNotebookApp | INFO] 200 GET /user/son520804/notebooks/Untitled.ipynb?kernel_name=python3 (son520804@98.224.219.152) 341.98ms
[SingleUserNotebookApp | WARNING] 404 GET /user/son520804/static/components/react/react-dom.production.min.js (son520804@98.224.219.152) 2.44ms
[SingleUserNotebookApp | WARNING] 404 GET /user/son520804/static/components/react/react-dom.production.min.js (son520804@98.224.219.152) 1.71ms
[SingleUserNotebookApp | INFO] 200 GET /user/son520804/api/config/notebook?_=1591986328937 (son520804@98.224.219.152) 3.10ms
[SingleUserNotebookApp | INFO] 200 GET /user/son520804/api/config/common?_=1591986328938 (son520804@98.224.219.152) 2.38ms
